Social Security Number,Name,Race,Country,Sentence_lenght
831-39-6691,Livia Stittle,Eskimo,China,225
193-36-2708,Tamra Glencrosche,Laotian,China,120
473-40-0026,Tye McInerney,Guamanian,Indonesia,228
735-24-9234,Rebekkah Chadderton,Black or African American,Brazil,338
354-49-8290,Mirelle Relton,Delaware,Indonesia,91
324-72-0097,Fin Antram,White,Sweden,244
294-09-3437,Elmira Bodega,Seminole,Mexico,136
110-03-9531,Hugues Van Der Hoog,Native Hawaiian,China,174
323-55-5953,Fritz Sacher,Pueblo,Philippines,367
292-02-9559,Deeyn Goodfellow,Osage,Argentina,152
873-22-2258,Paton McNellis,Seminole,Belize,217
789-59-6570,Tann Plover,Mexican,Ukraine,210
126-39-9292,Ruddy Cudihy,Potawatomi,China,379
689-14-1565,Nadya Hawthorne,American Indian and Alaska Native (AIAN),China,306
617-62-8972,Catie Burner,Uruguayan,Russia,290
634-92-5546,Fleur Corthes,Bangladeshi,Colombia,202
476-59-3029,Jarred Danielli,Alaska Native,China,102
836-62-2889,Phillipp Fesby,Salvadoran,Russia,93
214-67-8902,Chrystal Welden,Laotian,Philippines,218
336-36-1558,Tish Fretwell,Choctaw,China,102
394-80-5139,Conrad Courtney,Comanche,Madagascar,38
768-11-8368,Kaiser Keaton,Micronesian,Indonesia,85
431-03-8045,Suzi Hlavac,Cree,Indonesia,258
790-93-9470,Jeanine McComb,Thai,Croatia,172
769-05-4969,Colet Debrick,Sri Lankan,Philippines,140
765-64-5906,Donaugh Ciardo,Chickasaw,France,255
295-52-9945,Ginevra Chicchelli,Choctaw,France,377
888-03-0882,Lyndel Keepe,Filipino,Brazil,137
774-49-1588,Leon Blaxter,Cree,Tanzania,243
844-23-4975,Goddart Jaszczak,Aleut,Japan,147
224-79-3819,Karlik O'Lenechan,Chinese,Saudi Arabia,47
313-38-0388,Edee Mickan,Thai,Portugal,25
385-36-1732,Sabine Lamke,Seminole,Poland,157
226-28-5279,Yorgo Eglin,Puget Sound Salish,China,118
730-52-5549,Delmor Deacon,Colville,Philippines,96
491-19-8914,Dynah Glasspool,Sri Lankan,Colombia,236
355-79-5297,Zechariah Maso,Indonesian,Russia,41
802-80-7468,Salvatore Cordel,Houma,Russia,190
770-56-1956,Danice Ellwell,Cuban,Nigeria,51
